Unnamed: 0,name,mapped_data
49605,georgia rabun county united states,",Rabun County,Georgia,United States"
49606,georgia white county united states,",White County,Georgia,United States"
49607,georgia bleckley county united states,",Bleckley County,Georgia,United States"
49608,georgia miller county united states,",Miller County,Georgia,United States"
49609,georgia muscogee county united states,",Muscogee County,Georgia,United States"
49610,georgia madison county united states,",Madison County,Georgia,United States"
49611,georgia rockdale county united states,",Rockdale County,Georgia,United States"
49612,georgia crisp county united states,",Crisp County,Georgia,United States"
49613,georgia newton county united states,",Newton County,Georgia,United States"
49614,georgia taliaferro county united states,",Taliaferro County,Georgia,United States"
49615,georgia forsyth county united states,",Forsyth County,Georgia,United States"
49616,georgia chattahoochee county united states,",Chattahoochee County,Georgia,United States"
49617,georgia randolph county united states,",Randolph County,Georgia,United States"
49618,georgia lumpkin county united states,",Lumpkin County,Georgia,United States"
49619,georgia whitfield county united states,",Whitfield County,Georgia,United States"
49620,georgia paulding county united states,",Paulding County,Georgia,United States"
49621,georgia mcintosh county united states,",McIntosh County,Georgia,United States"
49622,georgia washington county united states,",Washington County,Georgia,United States"
49623,georgia terrell county united states,",Terrell County,Georgia,United States"
49624,georgia dawson county united states,",Dawson County,Georgia,United States"
49625,georgia ware county united states,",Ware County,Georgia,United States"
49626,georgia seminole county united states,",Seminole County,Georgia,United States"
49627,georgia douglas county united states,",Douglas County,Georgia,United States"
49628,georgia laurens county united states,",Laurens County,Georgia,United States"
49629,georgia spalding county united states,",Spalding County,Georgia,United States"
49630,georgia coweta county united states,",Coweta County,Georgia,United States"
49631,georgia putnam county united states,",Putnam County,Georgia,United States"
49632,georgia elbert county united states,",Elbert County,Georgia,United States"
49633,georgia schley county united states,",Schley County,Georgia,United States"
49634,georgia gilmer county united states,",Gilmer County,Georgia,United States"
49635,georgia berrien county united states,",Berrien County,Georgia,United States"
49636,georgia fayette county united states,",Fayette County,Georgia,United States"
49637,georgia ben hill county united states,",Ben Hill County,Georgia,United States"
49638,georgia hall county united states,",Hall County,Georgia,United States"
49639,georgia charlton county united states,",Charlton County,Georgia,United States"
49640,georgia monroe county united states,",Monroe County,Georgia,United States"
49641,georgia clay county united states,",Clay County,Georgia,United States"
49642,georgia catoosa county united states,",Catoosa County,Georgia,United States"
