Unnamed: 0,name,mapped_data
15569,queen anne's county maryland,",Queen Anne's County,Maryland,United States"
15570,cecil county maryland,",Cecil County,Maryland,United States"
15571,calvert county maryland,",Calvert County,Maryland,United States"
15572,kent county maryland,",Kent County,Maryland,United States"
15573,howard county maryland,",Howard County,Maryland,United States"
15574,somerset county maryland,",Somerset County,Maryland,United States"
15575,wicomico county maryland,",Wicomico County,Maryland,United States"
15576,caroline county maryland,",Caroline County,Maryland,United States"
15577,talbot county maryland,",Talbot County,Maryland,United States"
15578,carroll county maryland,",Carroll County,Maryland,United States"
15579,garrett county maryland,",Garrett County,Maryland,United States"
15580,bates county missouri,",Bates County,Missouri,United States"
15581,stoddard county missouri,",Stoddard County,Missouri,United States"
15582,saint louis county missouri,",Saint Louis County,Missouri,United States"
15583,ray county missouri,",Ray County,Missouri,United States"
15584,oregon county missouri,",Oregon County,Missouri,United States"
15585,mcdonald county missouri,",McDonald County,Missouri,United States"
15586,saint clair county missouri,",Saint Clair County,Missouri,United States"
15587,cass county missouri,",Cass County,Missouri,United States"
15588,jefferson county missouri,",Jefferson County,Missouri,United States"
15589,greene county missouri,",Greene County,Missouri,United States"
15590,boone county missouri,",Boone County,Missouri,United States"
15591,lawrence county missouri,",Lawrence County,Missouri,United States"
15592,douglas county missouri,",Douglas County,Missouri,United States"
15593,maries county missouri,",Maries County,Missouri,United States"
15594,scott county missouri,",Scott County,Missouri,United States"
15595,christian county missouri,",Christian County,Missouri,United States"
15596,saint francois county missouri,",Saint Francois County,Missouri,United States"
15597,jackson county missouri,",Jackson County,Missouri,United States"
15598,polk county missouri,",Polk County,Missouri,United States"
15599,cooper county missouri,",Cooper County,Missouri,United States"
15600,crawford county missouri,",Crawford County,Missouri,United States"
15601,pike county missouri,",Pike County,Missouri,United States"
15602,taney county missouri,",Taney County,Missouri,United States"
15603,linn county missouri,",Linn County,Missouri,United States"
15604,dallas county missouri,",Dallas County,Missouri,United States"
15605,texas county missouri,",Texas County,Missouri,United States"
15606,moniteau county missouri,",Moniteau County,Missouri,United States"
15607,camden county missouri,",Camden County,Missouri,United States"
15608,clinton county missouri,",Clinton County,Missouri,United States"
15609,dunklin county missouri,",Dunklin County,Missouri,United States"
15610,cape girardeau county missouri,",Cape Girardeau County,Missouri,United States"
15611,jasper county missouri,",Jasper County,Missouri,United States"
15612,carroll county missouri,",Carroll County,Missouri,United States"
15613,pemiscot county missouri,",Pemiscot County,Missouri,United States"
15614,barry county missouri,",Barry County,Missouri,United States"
15615,reynolds county missouri,",Reynolds County,Missouri,United States"
15616,mississippi county missouri,",Mississippi County,Missouri,United States"
