Unnamed: 0,name,mapped_data
10995,wyoming us,",,Wyoming,United States"
10996,hawaii us,",,Hawaii,United States"
11192,gauteng za,",,Gauteng,South Africa"
11193,north-west za,",,North-West,South Africa"
11194,orange free state za,",,Orange Free State,South Africa"
11195,mpumalanga za,",,Mpumalanga,South Africa"
11196,eastern cape za,",,Eastern Cape,South Africa"
11197,northern cape za,",,Northern Cape,South Africa"
11198,kwazulu-natal za,",,KwaZulu-Natal,South Africa"
11199,limpopo za,",,Limpopo,South Africa"
11200,western cape za,",,Western Cape,South Africa"
