Unnamed: 0,name,mapped_data
3406,manjimup,"Manjimup,Manjimup,Western Australia,Australia"
3407,mandurah,"Mandurah,Mandurah,Western Australia,Australia"
3408,mallala,"Mallala,Mallala,South Australia,Australia"
3409,maddington,"Maddington,Gosnells,Western Australia,Australia"
3410,lyndoch,"Lyndoch,Barossa,South Australia,Australia"
3411,lower chittering,"Lower Chittering,Chittering,Western Australia,Australia"
3412,lobethal,"Lobethal,Adelaide Hills,South Australia,Australia"
3413,little hampton,"Little Hampton,Mount Barker,South Australia,Australia"
3414,langhorne creek,"Langhorne Creek,Alexandrina,South Australia,Australia"
3415,kwinana,"Kwinana,Kwinana,Western Australia,Australia"
3416,kununurra,"Kununurra,Wyndham-East Kimberley,Western Australia,Australia"
3417,kojonup,"Kojonup,Kojonup,Western Australia,Australia"
3418,kingscote,"Kingscote,Kangaroo Island,South Australia,Australia"
3419,kenwick,"Kenwick,Gosnells,Western Australia,Australia"
3420,kendenup,"Kendenup,Plantagenet Shire,Western Australia,Australia"
3421,kelmscott,"Kelmscott,Armadale,Western Australia,Australia"
3422,katherine,"Katherine,Katherine,Northern Territory,Australia"
3423,katanning,"Katanning,Katanning,Western Australia,Australia"
3424,kapunda,"Kapunda,Light,South Australia,Australia"
3425,kalgoorlie,"Kalgoorlie,Kalgoorlie/Boulder,Western Australia,Australia"
3426,kalbarri,"Kalbarri,Northampton Shire,Western Australia,Australia"
3427,kadina,"Kadina,Copper Coast,South Australia,Australia"
3428,ingle farm,"Ingle Farm,Salisbury,South Australia,Australia"
3429,hope valley,"Hope Valley,Tea Tree Gully,South Australia,Australia"
3430,halls creek,"Halls Creek,Halls Creek,Western Australia,Australia"
3431,hahndorf,"Hahndorf,Mount Barker,South Australia,Australia"
3432,hackham,"Hackham,Onkaparinga,South Australia,Australia"
3433,gumeracha,"Gumeracha,Adelaide Hills,South Australia,Australia"
3434,greenmount,"Greenmount,Mundaring,Western Australia,Australia"
3435,grasmere,"Grasmere,Albany,Western Australia,Australia"
3436,gosnells,"Gosnells,Gosnells,Western Australia,Australia"
3437,gooseberry hill,"Gooseberry Hill,Kalamunda,Western Australia,Australia"
3438,goolwa,"Goolwa,Alexandrina,South Australia,Australia"
3439,golden grove,"Golden Grove,Tea Tree Gully,South Australia,Australia"
3440,glenelg,"Glenelg,Adelaide,South Australia,Australia"
3441,gilles plains,"Gilles Plains,Port Adelaide Enfield,South Australia,Australia"
3442,geraldton,"Geraldton,Geraldton-Greenough,Western Australia,Australia"
3443,gawler,"Gawler,Gawler,South Australia,Australia"
3444,fremantle,"Fremantle,Fremantle,Western Australia,Australia"
3445,freeling,"Freeling,Light,South Australia,Australia"
3446,findon,"Findon,Charles Sturt,South Australia,Australia"
3447,encounter bay,"Encounter Bay,Victor Harbor,South Australia,Australia"
3448,dongara,"Dongara,Irwin,Western Australia,Australia"
3449,chidlow,"Chidlow,Mundaring,Western Australia,Australia"
3450,port denison,"Port Denison, ,Western Australia,Australia"
3451,darwin,"Darwin,Darwin,Northern Territory,Australia"
3452,dampier,"Dampier,Roebourne,Western Australia,Australia"
3453,cunderdin,"Cunderdin,Cunderdin,Western Australia,Australia"
3454,cummins,"Cummins,Lower Eyre Peninsula,South Australia,Australia"
3455,crystal brook,"Crystal Brook,Port Pirie City and Dists,South Australia,Australia"
3456,craigburn farm,"Craigburn Farm,Onkaparinga,South Australia,Australia"
3457,crafers,"Crafers,Adelaide Hills,South Australia,Australia"
3458,cottesloe,"Cottesloe,Peppermint Grove,Western Australia,Australia"
3459,coromandel valley,"Coromandel Valley,Onkaparinga,South Australia,Australia"
3460,coober pedy,"Coober Pedy,Coober Pedy,South Australia,Australia"
3461,collie,"Collie,Collie,Western Australia,Australia"
3462,cleve,"Cleve,Cleve,South Australia,Australia"
3463,clare,"Clare,Clare and Gilbert Valleys,South Australia,Australia"
3464,ceduna,"Ceduna,Ceduna,South Australia,Australia"
3465,caversham,"Caversham,Swan,Western Australia,Australia"
3466,carnarvon,"Carnarvon,Carnarvon,Western Australia,Australia"
3467,capel,"Capel,Capel,Western Australia,Australia"
3468,cannington,"Cannington,Canning,Western Australia,Australia"
3469,byford,"Byford,Serpentine-Jarrahdale,Western Australia,Australia"
3470,busselton,"Busselton,Busselton,Western Australia,Australia"
3471,bunbury,"Bunbury,Bunbury,Western Australia,Australia"
3472,bullsbrook,"Bullsbrook,Swan,Western Australia,Australia"
3473,broome,"Broome,Broome,Western Australia,Australia"
3474,boyup brook,"Boyup Brook,Boyup Brook,Western Australia,Australia"
3475,boyanup,"Boyanup,Capel,Western Australia,Australia"
3476,birdwood,"Birdwood,Adelaide Hills,South Australia,Australia"
3477,belair,"Belair,Mitcham,South Australia,Australia"
3478,bedford park,"Bedford Park,Onkaparinga,South Australia,Australia"
3479,bedfordale,"Bedfordale,Armadale,Western Australia,Australia"
3480,bassendean,"Bassendean,Bassendean,Western Australia,Australia"
3481,balhannah,"Balhannah,Adelaide Hills,South Australia,Australia"
3482,australind,"Australind,Harvey,Western Australia,Australia"
3483,armadale,"Armadale,Armadale,Western Australia,Australia"
3484,applecross,"Applecross,Melville,Western Australia,Australia"
3485,angle vale,"Angle Vale,Playford,South Australia,Australia"
3486,angaston,"Angaston,Barossa,South Australia,Australia"
3487,alice springs,"Alice Springs,Alice Springs,Northern Territory,Australia"
3488,aldinga,"Aldinga,Onkaparinga,South Australia,Australia"
3489,aldgate,"Aldgate,Adelaide Hills,South Australia,Australia"
3490,adelaide,"Adelaide,Adelaide,South Australia,Australia"
3491,dunsborough,"Dunsborough,Busselton,Western Australia,Australia"
3492,two rocks,"Two Rocks,Wanneroo,Western Australia,Australia"
3493,quinns rocks,"Quinns Rocks,Wanneroo,Western Australia,Australia"
3494,east fremantle,"East Fremantle,East Fremantle,Western Australia,Australia"
3495,peppermint grove,"Peppermint Grove,Mosman Park,Western Australia,Australia"
3496,bicton,"Bicton,Melville,Western Australia,Australia"
3497,attadale,"Attadale,Melville,Western Australia,Australia"
3498,shenton park,"Shenton Park,Nedlands,Western Australia,Australia"
3499,jurien bay,"Jurien Bay,Dandaragan,Western Australia,Australia"
3500,warnbro,"Warnbro,Rockingham,Western Australia,Australia"
3501,mullaloo,"Mullaloo,Joondalup,Western Australia,Australia"
3502,alyangula,"Alyangula, ,Northern Territory,Australia"
3503,stuart park,"Stuart Park,Darwin,Northern Territory,Australia"
3504,larrakeyah,"Larrakeyah,Darwin,Northern Territory,Australia"
3505,leanyer,"Leanyer,Darwin,Northern Territory,Australia"
3506,ludmilla,"Ludmilla,Darwin,Northern Territory,Australia"
3507,fannie bay,"Fannie Bay,Darwin,Northern Territory,Australia"
3508,nightcliff,"Nightcliff,Darwin,Northern Territory,Australia"
