Unnamed: 0,name,mapped_data
13174,loving county united states,",Loving County,Texas,United States"
13175,irion county united states,",Irion County,Texas,United States"
13176,ward county united states,",Ward County,Texas,United States"
13177,cochran county united states,",Cochran County,Texas,United States"
13178,bailey county united states,",Bailey County,Texas,United States"
13179,cottle county united states,",Cottle County,Texas,United States"
13180,gray county united states,",Gray County,Texas,United States"
13181,carson county united states,",Carson County,Texas,United States"
13182,reeves county united states,",Reeves County,Texas,United States"
13183,ochiltree county united states,",Ochiltree County,Texas,United States"
13184,garza county united states,",Garza County,Texas,United States"
13185,coke county united states,",Coke County,Texas,United States"
13186,nolan county united states,",Nolan County,Texas,United States"
13187,gaines county united states,",Gaines County,Texas,United States"
13188,briscoe county united states,",Briscoe County,Texas,United States"
13189,scurry county united states,",Scurry County,Texas,United States"
13190,sutton county united states,",Sutton County,Texas,United States"
13191,hansford county united states,",Hansford County,Texas,United States"
13192,sterling county united states,",Sterling County,Texas,United States"
13193,lynn county united states,",Lynn County,Texas,United States"
13194,swisher county united states,",Swisher County,Texas,United States"
13195,culberson county united states,",Culberson County,Texas,United States"
13196,collingsworth county united states,",Collingsworth County,Texas,United States"
13197,emery county united states,",Emery County,Utah,United States"
13198,millard county united states,",Millard County,Utah,United States"
13199,sanpete county united states,",Sanpete County,Utah,United States"
13200,utah county united states,",Utah County,Utah,United States"
13201,piute county united states,",Piute County,Utah,United States"
13202,kootenai county united states,",Kootenai County,Idaho,United States"
13203,juneau city and borough united states,",Juneau City and Borough,Alaska,United States"
13204,golden valley county united states,",Golden Valley County,North Dakota,United States"
13205,ketchikan gateway borough united states,",Ketchikan Gateway Borough,Alaska,United States"
13206,salt lake county united states,",Salt Lake County,Utah,United States"
13207,cache county united states,",Cache County,Utah,United States"
13208,annette island reserve united states,",Annette Island Reserve,Alaska,United States"
13209,wrangell-petersburg census area united states,",Wrangell-Petersburg Census Area,Alaska,United States"
13210,sitka city and borough united states,",Sitka City and Borough,Alaska,United States"
13211,city and borough of wrangell united states,",City and Borough of Wrangell,Alaska,United States"
13212,modoc county united states,",Modoc County,California,United States"
13213,shasta county united states,",Shasta County,California,United States"
13214,del norte county united states,",Del Norte County,California,United States"
13215,siskiyou county united states,",Siskiyou County,California,United States"
13216,lassen county united states,",Lassen County,California,United States"
13217,weld county united states,",Weld County,Colorado,United States"
13218,larimer county united states,",Larimer County,Colorado,United States"
13219,moffat county united states,",Moffat County,Colorado,United States"
13220,routt county united states,",Routt County,Colorado,United States"
13221,rio blanco county united states,",Rio Blanco County,Colorado,United States"
13222,bingham county united states,",Bingham County,Idaho,United States"
13223,power county united states,",Power County,Idaho,United States"
13224,bonneville county united states,",Bonneville County,Idaho,United States"
13225,ada county united states,",Ada County,Idaho,United States"
13226,boundary county united states,",Boundary County,Idaho,United States"
13227,twin falls county united states,",Twin Falls County,Idaho,United States"
13228,cassia county united states,",Cassia County,Idaho,United States"
13229,canyon county united states,",Canyon County,Idaho,United States"
13230,bannock county united states,",Bannock County,Idaho,United States"
13231,teton county united states,",Teton County,Idaho,United States"
13232,gem county united states,",Gem County,Idaho,United States"
13233,camas county united states,",Camas County,Idaho,United States"
13234,payette county united states,",Payette County,Idaho,United States"
13235,gooding county united states,",Gooding County,Idaho,United States"
13236,idaho county united states,",Idaho County,Idaho,United States"
13237,minidoka county united states,",Minidoka County,Idaho,United States"
13238,owyhee county united states,",Owyhee County,Idaho,United States"
13239,boise county united states,",Boise County,Idaho,United States"
13240,jerome county united states,",Jerome County,Idaho,United States"
13241,shoshone county united states,",Shoshone County,Idaho,United States"
13242,nez perce county united states,",Nez Perce County,Idaho,United States"
13243,bear lake county united states,",Bear Lake County,Idaho,United States"
13244,latah county united states,",Latah County,Idaho,United States"
13245,benewah county united states,",Benewah County,Idaho,United States"
13246,bonner county united states,",Bonner County,Idaho,United States"
13247,lemhi county united states,",Lemhi County,Idaho,United States"
13248,caribou county united states,",Caribou County,Idaho,United States"
13249,stillwater county united states,",Stillwater County,Montana,United States"
13250,deer lodge county united states,",Deer Lodge County,Montana,United States"
13251,fallon county united states,",Fallon County,Montana,United States"
13252,sweet grass county united states,",Sweet Grass County,Montana,United States"
13253,flathead county united states,",Flathead County,Montana,United States"
13254,yellowstone county united states,",Yellowstone County,Montana,United States"
13255,powder river county united states,",Powder River County,Montana,United States"
13256,glacier county united states,",Glacier County,Montana,United States"
13257,silver bow county united states,",Silver Bow County,Montana,United States"
13258,mccone county united states,",McCone County,Montana,United States"
13259,missoula county united states,",Missoula County,Montana,United States"
13260,rosebud county united states,",Rosebud County,Montana,United States"
13261,pondera county united states,",Pondera County,Montana,United States"
13262,big horn county united states,",Big Horn County,Montana,United States"
13263,beaverhead county united states,",Beaverhead County,Montana,United States"
13264,lewis and clark county united states,",Lewis and Clark County,Montana,United States"
13265,chouteau county united states,",Chouteau County,Montana,United States"
13266,cascade county united states,",Cascade County,Montana,United States"
13267,ravalli county united states,",Ravalli County,Montana,United States"
13268,wheatland county united states,",Wheatland County,Montana,United States"
13269,treasure county united states,",Treasure County,Montana,United States"
13270,fergus county united states,",Fergus County,Montana,United States"
13271,granite county united states,",Granite County,Montana,United States"
13272,sanders county united states,",Sanders County,Montana,United States"
13273,musselshell county united states,",Musselshell County,Montana,United States"
13274,daniels county united states,",Daniels County,Montana,United States"
13275,toole county united states,",Toole County,Montana,United States"
13276,judith basin county united states,",Judith Basin County,Montana,United States"
13277,broadwater county united states,",Broadwater County,Montana,United States"
13278,meagher county united states,",Meagher County,Montana,United States"
13279,wibaux county united states,",Wibaux County,Montana,United States"
13280,petroleum county united states,",Petroleum County,Montana,United States"
13281,slope county united states,",Slope County,North Dakota,United States"
13282,burleigh county united states,",Burleigh County,North Dakota,United States"
13283,bottineau county united states,",Bottineau County,North Dakota,United States"
13284,bowman county united states,",Bowman County,North Dakota,United States"
13285,oliver county united states,",Oliver County,North Dakota,United States"
13286,divide county united states,",Divide County,North Dakota,United States"
13287,emmons county united states,",Emmons County,North Dakota,United States"
13288,billings county united states,",Billings County,North Dakota,United States"
13289,hettinger county united states,",Hettinger County,North Dakota,United States"
13290,mountrail county united states,",Mountrail County,North Dakota,United States"
13291,mckenzie county united states,",McKenzie County,North Dakota,United States"
13292,box butte county united states,",Box Butte County,Nebraska,United States"
13293,arthur county united states,",Arthur County,Nebraska,United States"
13294,morrill county united states,",Morrill County,Nebraska,United States"
13295,dundy county united states,",Dundy County,Nebraska,United States"
13296,dawes county united states,",Dawes County,Nebraska,United States"
13297,scotts bluff county united states,",Scotts Bluff County,Nebraska,United States"
13298,perkins county united states,",Perkins County,Nebraska,United States"
13299,banner county united states,",Banner County,Nebraska,United States"
13300,hayes county united states,",Hayes County,Nebraska,United States"
13301,kimball county united states,",Kimball County,Nebraska,United States"
13302,red willow county united states,",Red Willow County,Nebraska,United States"
13303,hooker county united states,",Hooker County,Nebraska,United States"
13304,keith county united states,",Keith County,Nebraska,United States"
13305,garden county united states,",Garden County,Nebraska,United States"
