,lat,lon,name,admin1,admin2,cc,Country,mapped_unit,isInMap
86,37.12604,69.83045,Rustaq,Takhar, ,AF,Afghanistan,"Rustaq, ,Takhar,Afghanistan",No
145,36.81665,70.10211,Mashhad,Badakhshan, ,AF,Afghanistan,"Mashhad, ,Badakhshan,Afghanistan",No
247,32.01583,65.10721,Chinar,Kandahar, ,AF,Afghanistan,"Chinar, ,Kandahar,Afghanistan",No
325,37.52845,70.4482,March,Badakhshan, ,AF,Afghanistan,"March, ,Badakhshan,Afghanistan",No
327,36.52115,68.89985,Aliabad,Kunduz, ,AF,Afghanistan,"Aliabad, ,Kunduz,Afghanistan",No
334,33.17568,68.73045,Sharan,Paktika,Sharan,AF,Afghanistan,"Sharan,Sharan,Paktika,Afghanistan",No
341,17.02741,-61.78136,Falmouth,Saint Paul, ,AG,Antigua and Barbuda,"Falmouth, ,Saint Paul,Antigua and Barbuda",No
383,40.91333,20.55306,Trebinje,Korce,Rrethi i Pogradecit,AL,Albania,"Trebinje,Rrethi i Pogradecit,Korce,Albania",No
518,41.73583,20.32417,Arras,Diber,Rrethi i Dibres,AL,Albania,"Arras,Rrethi i Dibres,Diber,Albania",No
548,40.75111,19.7375,Strum,Fier,Rrethi i Fierit,AL,Albania,"Strum,Rrethi i Fierit,Fier,Albania",No
585,40.68333,19.61944,Patos,Fier,Rrethi i Fierit,AL,Albania,"Patos,Rrethi i Fierit,Fier,Albania",No
592,41.44417,19.74833,Nikel,Durres,Rrethi i Krujes,AL,Albania,"Nikel,Rrethi i Krujes,Durres,Albania",No
596,41.68389,19.71556,Milot,Lezhe,Rrethi i Kurbinit,AL,Albania,"Milot,Rrethi i Kurbinit,Lezhe,Albania",No
881,40.82572,43.95071,Kamo,Shirak, ,AM,Armenia,"Kamo, ,Shirak,Armenia",No
887,40.15446,44.03815,Armavir,Armavir, ,AM,Armenia,"Armavir, ,Armavir,Armenia",No
903,40.54031,44.86918,Gagarin,Geghark'unik'i Marz, ,AM,Armenia,"Gagarin, ,Geghark'unik'i Marz,Armenia",No
994,40.08444,44.30528,Gay,Armavir, ,AM,Armenia,"Gay, ,Armavir,Armenia",No
1051,-12.30261,15.43358,Chela,Huambo,Municipio Londuimbali,AO,Angola,"Chela,Municipio Londuimbali,Huambo,Angola",No
1053,-77.846,166.676,McMurdo Station, , ,AQ, ,"McMurdo Station, , , ",No
1066,-32.1632,-58.40082,Villa Elisa,Entre Rios, ,AR,Argentina,"Villa Elisa, ,Entre Rios,Argentina",No
1067,-30.79567,-57.91257,Villa del Rosario,Entre Rios, ,AR,Argentina,"Villa del Rosario, ,Entre Rios,Argentina",No
1078,-30.08671,-58.78777,Sauce,Corrientes,Departamento de Sauce,AR,Argentina,"Sauce,Departamento de Sauce,Corrientes,Argentina",No
1079,-35.025,-58.42276,San Vicente,Buenos Aires,Partido de San Vicente,AR,Argentina,"San Vicente,Partido de San Vicente,Buenos Aires,Argentina",No
1080,-26.61667,-54.13333,San Vicente,Misiones, ,AR,Argentina,"San Vicente, ,Misiones,Argentina",No
1083,-28.26318,-58.11891,Santa Rosa,Corrientes, ,AR,Argentina,"Santa Rosa, ,Corrientes,Argentina",No
1084,-27.90357,-55.38541,Santa Maria,Misiones, ,AR,Argentina,"Santa Maria, ,Misiones,Argentina",No
1085,-28.98746,-59.10287,Santa Lucia,Corrientes, ,AR,Argentina,"Santa Lucia, ,Corrientes,Argentina",No
1086,-30.94768,-59.78696,Santa Elena,Entre Rios, ,AR,Argentina,"Santa Elena, ,Entre Rios,Argentina",No
1087,-32.17476,-58.78622,Santa Anita,Entre Rios, ,AR,Argentina,"Santa Anita, ,Entre Rios,Argentina",No
1088,-30.90004,-57.93162,Santa Ana,Entre Rios, ,AR,Argentina,"Santa Ana, ,Entre Rios,Argentina",No
1089,-27.3674,-55.58091,Santa Ana,Misiones, ,AR,Argentina,"Santa Ana, ,Misiones,Argentina",No
1090,-31.62487,-58.50524,San Salvador,Entre Rios, ,AR,Argentina,"San Salvador, ,Entre Rios,Argentina",No
1091,-28.57457,-58.70817,San Roque,Corrientes,Departamento de San Roque,AR,Argentina,"San Roque,Departamento de San Roque,Corrientes,Argentina",No
1092,-33.67913,-59.66663,San Pedro,Buenos Aires,Partido de San Pedro,AR,Argentina,"San Pedro,Partido de San Pedro,Buenos Aires,Argentina",No
1093,-26.62207,-54.10842,San Pedro,Misiones,Departamento de San Pedro,AR,Argentina,"San Pedro,Departamento de San Pedro,Misiones,Argentina",No
1095,-27.99585,-57.58964,San Miguel,Corrientes,Departamento de San Miguel,AR,Argentina,"San Miguel,Departamento de San Miguel,Corrientes,Argentina",No
1097,-28.13306,-58.76733,San Lorenzo,Corrientes, ,AR,Argentina,"San Lorenzo, ,Corrientes,Argentina",No
1101,-27.76979,-55.7826,San Jose,Misiones,Departamento de Apostoles,AR,Argentina,"San Jose,Departamento de Apostoles,Misiones,Argentina",No
1102,-30.57781,-59.9317,San Javier,Santa Fe,Departamento de San Javier,AR,Argentina,"San Javier,Departamento de San Javier,Santa Fe,Argentina",No
1103,-27.87427,-55.13509,San Javier,Misiones,Departamento de San Javier,AR,Argentina,"San Javier,Departamento de San Javier,Misiones,Argentina",No
1104,-34.47145,-58.50776,San Isidro,Buenos Aires,Partido de San Isidro,AR,Argentina,"San Isidro,Partido de San Isidro,Buenos Aires,Argentina",No
1105,-27.25586,-55.5339,San Ignacio,Misiones,Departamento de San Ignacio,AR,Argentina,"San Ignacio,Departamento de San Ignacio,Misiones,Argentina",No
1110,-38.34653,-59.60954,San Cayetano,Buenos Aires,Partido de San Cayetano,AR,Argentina,"San Cayetano,Partido de San Cayetano,Buenos Aires,Argentina",No
1111,-27.74586,-55.89731,San Carlos,Corrientes, ,AR,Argentina,"San Carlos, ,Corrientes,Argentina",No
1121,-34.58333,-58.38333,Retiro,Buenos Aires F.D., ,AR,Argentina,"Retiro, ,Buenos Aires F.D.,Argentina",No
1144,-34.74974,-58.68697,Pontevedra,Buenos Aires, ,AR,Argentina,"Pontevedra, ,Buenos Aires,Argentina",No
1148,-36.00058,-58.14391,Pila,Buenos Aires, ,AR,Argentina,"Pila, ,Buenos Aires,Argentina",No
1149,-31.18623,-59.95957,Piedras Blancas,Entre Rios, ,AR,Argentina,"Piedras Blancas, ,Entre Rios,Argentina",No
1155,-27.72369,-54.91515,Panambi,Misiones, ,AR,Argentina,"Panambi, ,Misiones,Argentina",No
1166,-35.00559,-59.27699,Navarro,Buenos Aires,Partido de Navarro,AR,Argentina,"Navarro,Partido de Navarro,Buenos Aires,Argentina",No
1167,-34.65344,-58.61975,Moron,Buenos Aires,Partido de Moron,AR,Argentina,"Moron,Partido de Moron,Buenos Aires,Argentina",No
1172,-38.27161,-57.8389,Miramar,Buenos Aires, ,AR,Argentina,"Miramar, ,Buenos Aires,Argentina",No
1186,-35.08065,-57.51301,Magdalena,Buenos Aires,Partido de Magdalena,AR,Argentina,"Magdalena,Partido de Magdalena,Buenos Aires,Argentina",No
1187,-32.1722,-59.39947,Macia,Entre Rios, ,AR,Argentina,"Macia, ,Entre Rios,Argentina",No
1193,-27.76834,-57.27531,Loreto,Corrientes, ,AR,Argentina,"Loreto, ,Corrientes,Argentina",No
1194,-27.33635,-55.52225,Loreto,Misiones,Departamento de Candelaria,AR,Argentina,"Loreto,Departamento de Candelaria,Misiones,Argentina",No
1199,-30.043,-57.8202,Libertad,Corrientes, ,AR,Argentina,"Libertad, ,Corrientes,Argentina",No
1204,-36.01403,-59.09984,Las Flores,Buenos Aires,Partido de Las Flores,AR,Argentina,"Las Flores,Partido de Las Flores,Buenos Aires,Argentina",No
1207,-30.74485,-59.64566,La Paz,Entre Rios,Departamento de La Paz,AR,Argentina,"La Paz,Departamento de La Paz,Entre Rios,Argentina",No
1215,-29.17443,-56.64326,La Cruz,Corrientes, ,AR,Argentina,"La Cruz, ,Corrientes,Argentina",No
1225,-32.43516,-58.62462,Herrera,Entre Rios, ,AR,Argentina,"Herrera, ,Entre Rios,Argentina",No
1254,-27.41813,-59.02392,Fontana,Chaco, ,AR,Argentina,"Fontana, ,Chaco,Argentina",No
1263,-34.86186,-57.91126,Ensenada,Buenos Aires,Partido de Ensenada,AR,Argentina,"Ensenada,Partido de Ensenada,Buenos Aires,Argentina",No
1266,-26.40484,-54.62478,Eldorado,Misiones,Departamento de Eldorado,AR,Argentina,"Eldorado,Departamento de Eldorado,Misiones,Argentina",No
1282,-28.39175,-57.88777,Concepcion,Corrientes,Departamento de Concepcion,AR,Argentina,"Concepcion,Departamento de Concepcion,Corrientes,Argentina",No
1290,-32.22337,-58.14341,Colon,Entre Rios, ,AR,Argentina,"Colon, ,Entre Rios,Argentina",No
1299,-27.6331,-55.4962,Cerro Azul,Misiones, ,AR,Argentina,"Cerro Azul, ,Misiones,Argentina",No
1311,-27.4595,-55.74536,Candelaria,Misiones,Departamento de Candelaria,AR,Argentina,"Candelaria,Departamento de Candelaria,Misiones,Argentina",No
1314,-27.2077,-54.97977,Campo Grande,Misiones, ,AR,Argentina,"Campo Grande, ,Misiones,Argentina",No
1324,-37.67188,-59.80653,Benito Juarez,Buenos Aires, ,AR,Argentina,"Benito Juarez, ,Buenos Aires,Argentina",No
1325,-28.50918,-59.04009,Bella Vista,Corrientes,Departamento de Bella Vista,AR,Argentina,"Bella Vista,Departamento de Bella Vista,Corrientes,Argentina",No
1333,-37.15185,-58.48691,Ayacucho,Buenos Aires,Partido de Ayacucho,AR,Argentina,"Ayacucho,Partido de Ayacucho,Buenos Aires,Argentina",No
1350,-38.75,-68.18333,Vista Alegre,Neuquen, ,AR,Argentina,"Vista Alegre, ,Neuquen,Argentina",No
1354,-29.41347,-62.78822,Villa Union,Santiago del Estero, ,AR,Argentina,"Villa Union, ,Santiago del Estero,Argentina",No
1355,-29.31595,-68.22658,Villa Union,La Rioja, ,AR,Argentina,"Villa Union, ,La Rioja,Argentina",No
1365,-32.89722,-68.78038,Villa Nueva,Mendoza, ,AR,Argentina,"Villa Nueva, ,Mendoza,Argentina",No
1366,-32.43293,-63.24763,Villa Nueva,Cordoba, ,AR,Argentina,"Villa Nueva, ,Cordoba,Argentina",No
1382,-31.5566,-63.53452,Villa del Rosario,Cordoba, ,AR,Argentina,"Villa del Rosario, ,Cordoba,Argentina",No
1387,-29.00295,-68.21277,Villa Castelli,La Rioja, ,AR,Argentina,"Villa Castelli, ,La Rioja,Argentina",No
1400,-32.61841,-60.15478,Victoria,Entre Rios,Departamento de Victoria,AR,Argentina,"Victoria,Departamento de Victoria,Entre Rios,Argentina",No
1409,-31.11732,-64.48084,Valle Hermoso,Cordoba, ,AR,Argentina,"Valle Hermoso, ,Cordoba,Argentina",No
1415,-35.15282,-65.94602,Union,San Luis, ,AR,Argentina,"Union, ,San Luis,Argentina",No
1432,-31.55574,-64.00947,Toledo,Cordoba, ,AR,Argentina,"Toledo, ,Cordoba,Argentina",No
1448,-30.50798,-66.5298,Tama,La Rioja, ,AR,Argentina,"Tama, ,La Rioja,Argentina",No
1462,-29.76776,-62.0477,Selva,Santiago del Estero, ,AR,Argentina,"Selva, ,Santiago del Estero,Argentina",No
1478,-36.61667,-64.28333,Santa Rosa,La Pampa, ,AR,Argentina,"Santa Rosa, ,La Pampa,Argentina",No
1479,-33.25407,-68.14937,Santa Rosa,Mendoza, ,AR,Argentina,"Santa Rosa, ,Mendoza,Argentina",No
1480,-26.69547,-66.04732,Santa Maria,Catamarca, ,AR,Argentina,"Santa Maria, ,Catamarca,Argentina",No
1482,-31.53987,-68.49503,Santa Lucia,San Juan,Departamento de Santa Lucia,AR,Argentina,"Santa Lucia,Departamento de Santa Lucia,San Juan,Argentina",No
1483,-36.22724,-66.9424,Santa Isabel,La Pampa, ,AR,Argentina,"Santa Isabel, ,La Pampa,Argentina",No
1486,-24.30921,-64.66253,Santa Clara,Jujuy, ,AR,Argentina,"Santa Clara, ,Jujuy,Argentina",No
1487,-21.94467,-66.05219,Santa Catalina,Jujuy,Departamento de Santa Catalina,AR,Argentina,"Santa Catalina,Departamento de Santa Catalina,Jujuy,Argentina",No
1491,-27.95386,-65.16651,San Pedro,Santiago del Estero,Departamento de Guasayan,AR,Argentina,"San Pedro,Departamento de Guasayan,Santiago del Estero,Argentina",No
1492,-24.23127,-64.86614,San Pedro,Jujuy,Departamento de San Pedro,AR,Argentina,"San Pedro,Departamento de San Pedro,Jujuy,Argentina",No
1497,-33.08103,-68.46814,San Martin,Mendoza, ,AR,Argentina,"San Martin, ,Mendoza,Argentina",No
1498,-31.42957,-68.50065,San Martin,San Juan,Departamento de San Martin,AR,Argentina,"San Martin,Departamento de San Martin,San Juan,Argentina",No
1500,-32.74341,-60.73613,San Lorenzo,Santa Fe,Departamento de San Lorenzo,AR,Argentina,"San Lorenzo,Departamento de San Lorenzo,Santa Fe,Argentina",No
1505,-28.38333,-65.7,San Jose,Catamarca,Departamento de Fray Mamerto Esquiu,AR,Argentina,"San Jose,Departamento de Fray Mamerto Esquiu,Catamarca,Argentina",No
1507,-28.46265,-65.72585,San Isidro,Catamarca, ,AR,Argentina,"San Isidro, ,Catamarca,Argentina",No
1510,-31.42797,-62.08266,San Francisco,Cordoba, ,AR,Argentina,"San Francisco, ,Cordoba,Argentina",No
1512,-30.31053,-61.23724,San Cristobal,Santa Fe,Departamento de San Cristobal,AR,Argentina,"San Cristobal,Departamento de San Cristobal,Santa Fe,Argentina",No
1515,-31.17761,-65.10245,San Carlos,Cordoba,Departamento de Minas,AR,Argentina,"San Carlos,Departamento de Minas,Cordoba,Argentina",No
1516,-25.88618,-65.92941,San Carlos,Salta,Departamento de San Carlos,AR,Argentina,"San Carlos,Departamento de San Carlos,Salta,Argentina",No
1518,-27.28782,-60.71252,San Bernardo,Chaco, ,AR,Argentina,"San Bernardo, ,Chaco,Argentina",No
1519,-31.78371,-60.44156,San Benito,Entre Rios, ,AR,Argentina,"San Benito, ,Entre Rios,Argentina",No
1520,-33.49763,-64.31495,San Basilio,Cordoba, ,AR,Argentina,"San Basilio, ,Cordoba,Argentina",No
1524,-28.93313,-65.09745,San Antonio,Catamarca,Departamento de La Paz,AR,Argentina,"San Antonio,Departamento de La Paz,Catamarca,Argentina",No
1525,-28.00927,-65.71218,San Antonio,Catamarca,Departamento de Paclin,AR,Argentina,"San Antonio,Departamento de Paclin,Catamarca,Argentina",No
1526,-24.36753,-65.33471,San Antonio,Jujuy,Departamento de San Antonio,AR,Argentina,"San Antonio,Departamento de San Antonio,Jujuy,Argentina",No
1528,-31.97681,-64.374,San Agustin,Cordoba, ,AR,Argentina,"San Agustin, ,Cordoba,Argentina",No
1531,-34.29292,-60.25455,Salto,Buenos Aires,Partido de Salto,AR,Argentina,"Salto,Partido de Salto,Buenos Aires,Argentina",No
1533,-31.13725,-64.29589,Salsipuedes,Cordoba, ,AR,Argentina,"Salsipuedes, ,Cordoba,Argentina",No
1543,-34.19528,-60.735,Rojas,Buenos Aires,Partido de Rojas,AR,Argentina,"Rojas,Partido de Rojas,Buenos Aires,Argentina",No
1544,-30.21186,-69.13661,Rodeo,San Juan, ,AR,Argentina,"Rodeo, ,San Juan,Argentina",No
1552,-53.78769,-67.70946,Rio Grande,Tierra del Fuego, ,AR,Argentina,"Rio Grande, ,Tierra del Fuego,Argentina",No
1557,-22.44083,-66.16779,Rinconada,Jujuy, ,AR,Argentina,"Rinconada, ,Jujuy,Argentina",No
1572,-49.30554,-67.72743,San Julian,Santa Cruz, ,AR,Argentina,"San Julian, ,Santa Cruz,Argentina",No
1577,-37.54576,-62.76723,Puan,Buenos Aires, ,AR,Argentina,"Puan, ,Buenos Aires,Argentina",No
1596,-32.99835,-60.76791,Perez,Santa Fe, ,AR,Argentina,"Perez, ,Santa Fe,Argentina",No
1601,-32.74733,-63.34232,Pasco,Cordoba, ,AR,Argentina,"Pasco, ,Cordoba,Argentina",No
1613,-32.04158,-63.56978,Oliva,Cordoba, ,AR,Argentina,"Oliva, ,Cordoba,Argentina",No
1618,-26.19907,-64.23792,Nueva Esperanza,Santiago del Estero,Departamento de Pellegrini,AR,Argentina,"Nueva Esperanza,Departamento de Pellegrini,Santiago del Estero,Argentina",No
1626,-32.5948,-62.83455,Morrison,Cordoba, ,AR,Argentina,"Morrison, ,Cordoba,Argentina",No
1633,-25.4395,-66.29126,Molinos,Salta,Departamento de Molinos,AR,Argentina,"Molinos,Departamento de Molinos,Salta,Argentina",No
1634,-30.91859,-62.67814,Miramar,Cordoba, ,AR,Argentina,"Miramar, ,Cordoba,Argentina",No
1636,-31.00326,-66.00098,Milagro,La Rioja, ,AR,Argentina,"Milagro, ,La Rioja,Argentina",No
1669,-28.04845,-65.49945,Los Altos,Catamarca, ,AR,Argentina,"Los Altos, ,Catamarca,Argentina",No
1673,-34.86649,-61.5302,Lincoln,Buenos Aires,Partido de Lincoln,AR,Argentina,"Lincoln,Partido de Lincoln,Buenos Aires,Argentina",No
1683,-31.8026,-62.61655,Las Varas,Cordoba, ,AR,Argentina,"Las Varas, ,Cordoba,Argentina",No
1684,-32.47661,-61.58041,Las Rosas,Santa Fe, ,AR,Argentina,"Las Rosas, ,Santa Fe,Argentina",No
1696,-39.55534,-70.59491,Las Coloradas,Neuquen, ,AR,Argentina,"Las Coloradas, ,Neuquen,Argentina",No
1706,-33.46091,-67.54956,La Paz,Mendoza, ,AR,Argentina,"La Paz, ,Mendoza,Argentina",No
1708,-28.15195,-65.66029,La Merced,Catamarca, ,AR,Argentina,"La Merced, ,Catamarca,Argentina",No
1715,-31.00919,-64.26869,La Granja,Cordoba, ,AR,Argentina,"La Granja, ,Cordoba,Argentina",No
1724,-33.41993,-63.29769,La Carlota,Cordoba, ,AR,Argentina,"La Carlota, ,Cordoba,Argentina",No
1725,-26.12708,-65.0496,La Candelaria,Salta, ,AR,Argentina,"La Candelaria, ,Salta,Argentina",No
1731,-27.73348,-64.24278,La Banda,Santiago del Estero, ,AR,Argentina,"La Banda, ,Santiago del Estero,Argentina",No
1739,-30.98153,-64.09424,Jesus Maria,Cordoba, ,AR,Argentina,"Jesus Maria, ,Cordoba,Argentina",No
1752,-32.81411,-63.03252,Idiazabal,Cordoba, ,AR,Argentina,"Idiazabal, ,Cordoba,Argentina",No
1762,-28.48094,-63.06779,Herrera,Santiago del Estero, ,AR,Argentina,"Herrera, ,Santiago del Estero,Argentina",No
1763,-32.42657,-63.73333,Hernando,Cordoba, ,AR,Argentina,"Hernando, ,Cordoba,Argentina",No
1766,-36.3,-61.71667,Henderson,Buenos Aires, ,AR,Argentina,"Henderson, ,Buenos Aires,Argentina",No
1772,-27.64934,-65.4383,Graneros,Tucuman,Departamento de Graneros,AR,Argentina,"Graneros,Departamento de Graneros,Tucuman,Argentina",No
1822,-31.4488,-60.93173,Esperanza,Santa Fe, ,AR,Argentina,"Esperanza, ,Santa Fe,Argentina",No
1829,-28.21518,-65.8742,El Rodeo,Catamarca, ,AR,Argentina,"El Rodeo, ,Catamarca,Argentina",No
1835,-32.57205,-64.39481,Elena,Cordoba, ,AR,Argentina,"Elena, ,Cordoba,Argentina",No
1838,-24.38682,-65.26177,El Carmen,Jujuy,Departamento de El Carmen,AR,Argentina,"El Carmen,Departamento de El Carmen,Jujuy,Argentina",No
1842,-28.31123,-65.36397,El Alto,Catamarca,Departamento de El Alto,AR,Argentina,"El Alto,Departamento de El Alto,Catamarca,Argentina",No
1853,-39.2,-65.76667,Darwin,Rio Negro, ,AR,Argentina,"Darwin, ,Rio Negro,Argentina",No
1859,-33.00887,-61.80746,Cruz Alta,Cordoba, ,AR,Argentina,"Cruz Alta, ,Cordoba,Argentina",No
1877,-27.34127,-65.59636,Concepcion,Tucuman,Departamento de Chicligasta,AR,Argentina,"Concepcion,Departamento de Chicligasta,Tucuman,Argentina",No
1886,-33.89512,-61.1011,Colon,Buenos Aires,Partido de Colon,AR,Argentina,"Colon,Partido de Colon,Buenos Aires,Argentina",No
1909,-29.881,-61.94504,Ceres,Santa Fe, ,AR,Argentina,"Ceres, ,Santa Fe,Argentina",No
1910,-38.82955,-68.1318,Centenario,Neuquen, ,AR,Argentina,"Centenario, ,Neuquen,Argentina",No
1928,-32.06036,-65.82477,Candelaria,San Luis, ,AR,Argentina,"Candelaria, ,San Luis,Argentina",No
1929,-33.56542,-62.88927,Canals,Cordoba, ,AR,Argentina,"Canals, ,Cordoba,Argentina",No
1933,-26.80077,-60.84215,Campo Largo,Chaco, ,AR,Argentina,"Campo Largo, ,Chaco,Argentina",No
1957,-27.03424,-65.30196,Bella Vista,Tucuman,Departamento de Leales,AR,Argentina,"Bella Vista,Departamento de Leales,Tucuman,Argentina",No
1958,-27.65103,-67.02869,Belen,Catamarca, ,AR,Argentina,"Belen, ,Catamarca,Argentina",No
1959,-36.81667,-69.91667,Barrancas,Neuquen, ,AR,Argentina,"Barrancas, ,Neuquen,Argentina",No
1960,-28.8884,-62.266,Bandera,Santiago del Estero, ,AR,Argentina,"Bandera, ,Santiago del Estero,Argentina",No
1974,-28.5805,-66.79438,Arauco,La Rioja,Departamento de Arauco,AR,Argentina,"Arauco,Departamento de Arauco,La Rioja,Argentina",No
1994,-38.97736,-67.82714,Allen,Rio Negro, ,AR,Argentina,"Allen, ,Rio Negro,Argentina",No
2013,-31.48658,-64.5715,Cuesta Blanca,Cordoba, ,AR,Argentina,"Cuesta Blanca, ,Cordoba,Argentina",No
2087,48.08333,14.83333,Winklarn,Lower Austria,Politischer Bezirk Amstetten,AT,Austria,"Winklarn,Politischer Bezirk Amstetten,Lower Austria,Austria",No
2123,48.28333,15.25,Weiten,Lower Austria,Politischer Bezirk Melk,AT,Austria,"Weiten,Politischer Bezirk Melk,Lower Austria,Austria",No
2133,47.29972,9.65,Weiler,Vorarlberg,Politischer Bezirk Feldkirch,AT,Austria,"Weiler,Politischer Bezirk Feldkirch,Vorarlberg,Austria",No
2146,48.04538,15.02672,Wang,Lower Austria,Politischer Bezirk Scheibbs,AT,Austria,"Wang,Politischer Bezirk Scheibbs,Lower Austria,Austria",No
2230,48.43333,15.1,Traunstein,Lower Austria,Politischer Bezirk Zwettl,AT,Austria,"Traunstein,Politischer Bezirk Zwettl,Lower Austria,Austria",No
2263,47.48333,10.51667,Tannheim,Tyrol,Politischer Bezirk Reutte,AT,Austria,"Tannheim,Politischer Bezirk Reutte,Tyrol,Austria",No
2266,47.51667,9.9,Sulzberg,Vorarlberg,Politischer Bezirk Bregenz,AT,Austria,"Sulzberg,Politischer Bezirk Bregenz,Vorarlberg,Austria",No
2273,47.23333,15.8,Stubenberg,Styria,Politischer Bezirk Hartberg-Fuerstenfeld,AT,Austria,"Stubenberg,Politischer Bezirk Hartberg-Fuerstenfeld,Styria,Austria",No
2283,46.75389,12.48417,Strassen,Tyrol,Politischer Bezirk Lienz,AT,Austria,"Strassen,Politischer Bezirk Lienz,Tyrol,Austria",No
2300,48.36667,16.38333,Stetten,Lower Austria,Politischer Bezirk Korneuburg,AT,Austria,"Stetten,Politischer Bezirk Korneuburg,Lower Austria,Austria",No
2304,46.76556,13.27167,Steinfeld,Carinthia,Politischer Bezirk Spittal an der Drau,AT,Austria,"Steinfeld,Politischer Bezirk Spittal an der Drau,Carinthia,Austria",No
2309,46.99778,16.08694,Stein,Styria,Politischer Bezirk Hartberg-Fuerstenfeld,AT,Austria,"Stein,Politischer Bezirk Hartberg-Fuerstenfeld,Styria,Austria",No
2316,47.36667,11.71667,Stans,Tyrol,Politischer Bezirk Schwaz,AT,Austria,"Stans,Politischer Bezirk Schwaz,Tyrol,Austria",No
2361,48.43333,15.55,Senftenberg,Lower Austria,Politischer Bezirk Krems,AT,Austria,"Senftenberg,Politischer Bezirk Krems,Lower Austria,Austria",No
2385,47.63547,16.35109,Schwarzenbach,Lower Austria,Politischer Bezirk Wiener Neustadt,AT,Austria,"Schwarzenbach,Politischer Bezirk Wiener Neustadt,Lower Austria,Austria",No
2505,47.68333,14.6,Sankt Gallen,Styria,Politischer Bezirk Liezen,AT,Austria,"Sankt Gallen,Politischer Bezirk Liezen,Styria,Austria",No
2518,47.1,14.96667,Salla,Styria,Politischer Bezirk Voitsberg,AT,Austria,"Salla,Politischer Bezirk Voitsberg,Styria,Austria",No
2524,47.80122,16.67158,Rust,Burgenland,Rust Stadt,AT,Austria,"Rust,Rust Stadt,Burgenland,Austria",No
2561,47.98567,15.07067,Reinsberg,Lower Austria,Politischer Bezirk Scheibbs,AT,Austria,"Reinsberg,Politischer Bezirk Scheibbs,Lower Austria,Austria",No
2577,47.43941,11.89407,Rattenberg,Tyrol,Politischer Bezirk Kufstein,AT,Austria,"Rattenberg,Politischer Bezirk Kufstein,Tyrol,Austria",No
2590,48.00313,15.80332,Ramsau,Lower Austria,Politischer Bezirk Lilienfeld,AT,Austria,"Ramsau,Politischer Bezirk Lilienfeld,Lower Austria,Austria",No
2631,47.9582,16.0948,Pottenstein,Lower Austria,Politischer Bezirk Baden,AT,Austria,"Pottenstein,Politischer Bezirk Baden,Lower Austria,Austria",No
2665,48.018,13.47507,Pfaffing,Upper Austria,Politischer Bezirk Vocklabruck,AT,Austria,"Pfaffing,Politischer Bezirk Vocklabruck,Upper Austria,Austria",No
2666,47.3,11.08333,Pfaffenhofen,Tyrol,Politischer Bezirk Innsbruck Land,AT,Austria,"Pfaffenhofen,Politischer Bezirk Innsbruck Land,Tyrol,Austria",No
2690,48.05,17.03333,Pama,Burgenland,Politischer Bezirk Neusiedl am See,AT,Austria,"Pama,Politischer Bezirk Neusiedl am See,Burgenland,Austria",No
2708,48.15,13.83333,Offenhausen,Upper Austria,Wels-Land,AT,Austria,"Offenhausen,Wels-Land,Upper Austria,Austria",No
2766,47.72096,16.08107,Neunkirchen,Lower Austria,Politischer Bezirk Neunkirchen,AT,Austria,"Neunkirchen,Politischer Bezirk Neunkirchen,Lower Austria,Austria",No
2775,46.63333,14.88333,Neuhaus,Carinthia,Politischer Bezirk Volkermarkt,AT,Austria,"Neuhaus,Politischer Bezirk Volkermarkt,Carinthia,Austria",No
2791,47.23333,15.6,Naas,Styria,Politischer Bezirk Weiz,AT,Austria,"Naas,Politischer Bezirk Weiz,Styria,Austria",No
2798,47.42164,11.83356,Munster,Tyrol,Politischer Bezirk Kufstein,AT,Austria,"Munster,Politischer Bezirk Kufstein,Tyrol,Austria",No
2815,46.6575,14.17472,Moosburg,Carinthia,Politischer Bezirk Klagenfurt Land,AT,Austria,"Moosburg,Politischer Bezirk Klagenfurt Land,Carinthia,Austria",No
2845,46.85722,15.90389,Merkendorf,Styria,Politischer Bezirk Suedoststeiermark,AT,Austria,"Merkendorf,Politischer Bezirk Suedoststeiermark,Styria,Austria",No
2848,47.29891,9.57862,Meiningen,Vorarlberg,Politischer Bezirk Feldkirch,AT,Austria,"Meiningen,Politischer Bezirk Feldkirch,Vorarlberg,Austria",No
2886,48.08851,13.66682,Manning,Upper Austria,Politischer Bezirk Vocklabruck,AT,Austria,"Manning,Politischer Bezirk Vocklabruck,Upper Austria,Austria",No
2902,47.91559,16.5179,Loretto,Burgenland,Eisenstadt-Umgebung,AT,Austria,"Loretto,Eisenstadt-Umgebung,Burgenland,Austria",No
2930,48.46667,15.58333,Lengenfeld,Lower Austria,Politischer Bezirk Krems,AT,Austria,"Lengenfeld,Politischer Bezirk Krems,Lower Austria,Austria",No
2980,47.48306,9.93583,Krumbach,Vorarlberg,Politischer Bezirk Bregenz,AT,Austria,"Krumbach,Politischer Bezirk Bregenz,Vorarlberg,Austria",No
3004,46.9,15.78333,Kohlberg,Styria,Politischer Bezirk Suedoststeiermark,AT,Austria,"Kohlberg,Politischer Bezirk Suedoststeiermark,Styria,Austria",No
