,name,mapped_data
113,La Rioja Argentina,",,La Rioja,Argentina"
114,Santiago del Estero Argentina,",,Santiago del Estero,Argentina"
115,Rio Negro Argentina,",,Rio Negro,Argentina"
116,Mendoza Argentina,",,Mendoza,Argentina"
117,San Luis Argentina,",,San Luis,Argentina"
118,Tierra del Fuego Argentina,",,Tierra del Fuego,Argentina"
119,Chubut Argentina,",,Chubut,Argentina"
120,Catamarca Argentina,",,Catamarca,Argentina"
121,Salta Argentina,",,Salta,Argentina"
122,Eastern District American Samoa,",,Eastern District,American Samoa"
123,Western District American Samoa,",,Western District,American Samoa"
124,Swains Island American Samoa,",,Swains Island,American Samoa"
125,Manu'a American Samoa,",,Manu'a,American Samoa"
126,Lower Austria Austria,",,Lower Austria,Austria"
127,Salzburg Austria,",,Salzburg,Austria"
128,Styria Austria,",,Styria,Austria"
129,Burgenland Austria,",,Burgenland,Austria"
130,Carinthia Austria,",,Carinthia,Austria"
131,Upper Austria Austria,",,Upper Austria,Austria"
132,Tyrol Austria,",,Tyrol,Austria"
133,Vorarlberg Austria,",,Vorarlberg,Austria"
134,Vienna Austria,",,Vienna,Austria"
135,Western Australia Australia,",,Western Australia,Australia"
136,South Australia Australia,",,South Australia,Australia"
137,Northern Territory Australia,",,Northern Territory,Australia"
138,Queensland Australia,",,Queensland,Australia"
139,New South Wales Australia,",,New South Wales,Australia"
140,Victoria Australia,",,Victoria,Australia"
141,Tasmania Australia,",,Tasmania,Australia"
142,Australian Capital Territory Australia,",,Australian Capital Territory,Australia"
143,  Aruba,",, ,Aruba"
144,Alands skaergard  ,",,Alands skaergard, "
145,Alands landsbygd  ,",,Alands landsbygd, "
146,Mariehamns stad  ,",,Mariehamns stad, "
147,Nakhichevan Azerbaijan,",,Nakhichevan,Azerbaijan"
148,Jalilabad Azerbaijan,",,Jalilabad,Azerbaijan"
149,Zangilan Rayon Azerbaijan,",,Zangilan Rayon,Azerbaijan"
150,Yardimli Azerbaijan,",,Yardimli,Azerbaijan"
151,Xocavand Rayonu Azerbaijan,",,Xocavand Rayonu,Azerbaijan"
152,Xankandi Sahari Azerbaijan,",,Xankandi Sahari,Azerbaijan"
153,Saatli Azerbaijan,",,Saatli,Azerbaijan"
154,Susa Azerbaijan,",,Susa,Azerbaijan"
155,Salyan Azerbaijan,",,Salyan,Azerbaijan"
156,Qubadli Azerbaijan,",,Qubadli,Azerbaijan"
157,Beylaqan Azerbaijan,",,Beylaqan,Azerbaijan"
158,Neftcala Azerbaijan,",,Neftcala,Azerbaijan"
159,Masally Azerbaijan,",,Masally,Azerbaijan"
160,Lerik Azerbaijan,",,Lerik,Azerbaijan"
161,Lankaran Azerbaijan,",,Lankaran,Azerbaijan"
162,Lacin Azerbaijan,",,Lacin,Azerbaijan"
163,Astara Azerbaijan,",,Astara,Azerbaijan"
164,Xocali Azerbaijan,",,Xocali,Azerbaijan"
165,Imisli Azerbaijan,",,Imisli,Azerbaijan"
166,Fuezuli Azerbaijan,",,Fuezuli,Azerbaijan"
167,Cabrayil Rayonu Azerbaijan,",,Cabrayil Rayonu,Azerbaijan"
168,Bilasuvar Rayon Azerbaijan,",,Bilasuvar Rayon,Azerbaijan"
169,Shirvan Azerbaijan,",,Shirvan,Azerbaijan"
170,Agdam Azerbaijan,",,Agdam,Azerbaijan"
171,Aghjabadi Rayon Azerbaijan,",,Aghjabadi Rayon,Azerbaijan"
172,Baki Azerbaijan,",,Baki,Azerbaijan"
173,Zardab Azerbaijan,",,Zardab,Azerbaijan"
174,Zaqatala Azerbaijan,",,Zaqatala,Azerbaijan"
175,Yevlax City Azerbaijan,",,Yevlax City,Azerbaijan"
176,Tovuz Azerbaijan,",,Tovuz,Azerbaijan"
177,Xacmaz Azerbaijan,",,Xacmaz,Azerbaijan"
178,Goygol Rayon Azerbaijan,",,Goygol Rayon,Azerbaijan"
179,Dashkasan Rayon Azerbaijan,",,Dashkasan Rayon,Azerbaijan"
180,Ucar Azerbaijan,",,Ucar,Azerbaijan"
181,Tartar Rayon Azerbaijan,",,Tartar Rayon,Azerbaijan"
182,Sumqayit Azerbaijan,",,Sumqayit,Azerbaijan"
183,Siazan Rayon Azerbaijan,",,Siazan Rayon,Azerbaijan"
184,Xizi Azerbaijan,",,Xizi,Azerbaijan"
185,Abseron Azerbaijan,",,Abseron,Azerbaijan"
186,Qusar Azerbaijan,",,Qusar,Azerbaijan"
187,Shamkir Rayon Azerbaijan,",,Shamkir Rayon,Azerbaijan"
188,Samaxi Azerbaijan,",,Samaxi,Azerbaijan"
189,Agstafa Azerbaijan,",,Agstafa,Azerbaijan"
190,Shaki City Azerbaijan,",,Shaki City,Azerbaijan"
191,Samux Azerbaijan,",,Samux,Azerbaijan"
192,Sabirabad Azerbaijan,",,Sabirabad,Azerbaijan"
193,Quba Azerbaijan,",,Quba,Azerbaijan"
194,Haciqabul Azerbaijan,",,Haciqabul,Azerbaijan"
195,Qazax Azerbaijan,",,Qazax,Azerbaijan"
196,Qakh Rayon Azerbaijan,",,Qakh Rayon,Azerbaijan"
197,Qabala Rayon Azerbaijan,",,Qabala Rayon,Azerbaijan"
198,Oguz Azerbaijan,",,Oguz,Azerbaijan"
199,Gadabay Rayon Azerbaijan,",,Gadabay Rayon,Azerbaijan"
200,Naftalan Azerbaijan,",,Naftalan,Azerbaijan"
201,Mingacevir City Azerbaijan,",,Mingacevir City,Azerbaijan"
202,Qobustan Azerbaijan,",,Qobustan,Azerbaijan"
203,Goranboy Azerbaijan,",,Goranboy,Azerbaijan"
204,Kurdamir Rayon Azerbaijan,",,Kurdamir Rayon,Azerbaijan"
205,Yevlax Azerbaijan,",,Yevlax,Azerbaijan"
206,Kalbacar Rayonu Azerbaijan,",,Kalbacar Rayonu,Azerbaijan"
207,Ismayilli Azerbaijan,",,Ismayilli,Azerbaijan"
