,name,mapped_data
137,New South Wales,",,New South Wales,Australia"
138,Victoria,",,Victoria,Australia"
139,Tasmania,",,Tasmania,Australia"
140,Australian Capital Territory,",,Australian Capital Territory,Australia"
141,Alands skaergard,",,Alands skaergard, "
142,Alands landsbygd,",,Alands landsbygd, "
143,Mariehamns stad,",,Mariehamns stad, "
144,Nakhichevan,",,Nakhichevan,Azerbaijan"
145,Jalilabad,",,Jalilabad,Azerbaijan"
146,Zangilan Rayon,",,Zangilan Rayon,Azerbaijan"
147,Yardimli,",,Yardimli,Azerbaijan"
148,Xocavand Rayonu,",,Xocavand Rayonu,Azerbaijan"
149,Xankandi Sahari,",,Xankandi Sahari,Azerbaijan"
150,Saatli,",,Saatli,Azerbaijan"
151,Susa,",,Susa,Azerbaijan"
152,Salyan,",,Salyan,Azerbaijan"
153,Qubadli,",,Qubadli,Azerbaijan"
154,Beylaqan,",,Beylaqan,Azerbaijan"
155,Neftcala,",,Neftcala,Azerbaijan"
156,Masally,",,Masally,Azerbaijan"
157,Lerik,",,Lerik,Azerbaijan"
158,Lankaran,",,Lankaran,Azerbaijan"
159,Lacin,",,Lacin,Azerbaijan"
160,Astara,",,Astara,Azerbaijan"
161,Xocali,",,Xocali,Azerbaijan"
162,Imisli,",,Imisli,Azerbaijan"
163,Fuezuli,",,Fuezuli,Azerbaijan"
164,Cabrayil Rayonu,",,Cabrayil Rayonu,Azerbaijan"
165,Bilasuvar Rayon,",,Bilasuvar Rayon,Azerbaijan"
166,Shirvan,",,Shirvan,Azerbaijan"
167,Agdam,",,Agdam,Azerbaijan"
168,Aghjabadi Rayon,",,Aghjabadi Rayon,Azerbaijan"
169,Baki,",,Baki,Azerbaijan"
170,Zardab,",,Zardab,Azerbaijan"
171,Zaqatala,",,Zaqatala,Azerbaijan"
172,Yevlax City,",,Yevlax City,Azerbaijan"
173,Tovuz,",,Tovuz,Azerbaijan"
174,Xacmaz,",,Xacmaz,Azerbaijan"
175,Goygol Rayon,",,Goygol Rayon,Azerbaijan"
176,Dashkasan Rayon,",,Dashkasan Rayon,Azerbaijan"
177,Ucar,",,Ucar,Azerbaijan"
178,Tartar Rayon,",,Tartar Rayon,Azerbaijan"
179,Sumqayit,",,Sumqayit,Azerbaijan"
180,Siazan Rayon,",,Siazan Rayon,Azerbaijan"
181,Xizi,",,Xizi,Azerbaijan"
182,Abseron,",,Abseron,Azerbaijan"
183,Qusar,",,Qusar,Azerbaijan"
184,Shamkir Rayon,",,Shamkir Rayon,Azerbaijan"
185,Samaxi,",,Samaxi,Azerbaijan"
186,Agstafa,",,Agstafa,Azerbaijan"
